Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19970,10,20,0
2,19955,23,18,4
3,19940,31,23,6
4,19927,31,33,9
5,19904,42,37,17
6,19880,47,49,24
7,19841,72,53,34
8,19799,83,77,41
9,19756,93,98,53
10,19699,108,121,72
11,19606,159,153,82
12,19490,208,200,102
13,19377,251,234,138
14,19201,332,298,169
15,19014,394,382,210
16,18766,496,480,258
17,18459,616,590,335
18,18103,725,758,414
19,17643,922,922,513
20,17133,1098,1126,643
21,16428,1396,1387,789
22,15654,1646,1738,962
23,14710,1978,2131,1181
24,13645,2308,2586,1461
25,12455,2664,3070,1811
26,11154,3017,3614,2215
27,9848,3210,4239,2703
28,8532,3361,4885,3222
29,7176,3512,5458,3854
30,5949,3430,6052,4569
31,4895,3313,6414,5378
32,3902,3166,6708,6224
33,3118,2873,6911,7098
34,2416,2608,6959,8017
35,1925,2208,6943,8924
36,1525,1881,6731,9863
37,1254,1561,6397,10788
38,1040,1319,6070,11571
39,862,1105,5691,12342
40,753,925,5243,13079
41,674,749,4843,13734
42,634,589,4411,14366
43,598,478,4029,14895
44,585,382,3635,15398
45,554,331,3280,15835
46,553,290,2953,16204
47,579,236,2637,16548
48,580,204,2357,16859
49,587,185,2126,17102
50,609,161,1891,17339
51,629,147,1710,17514
52,683,125,1515,17677
53,714,119,1343,17824
54,741,116,1204,17939
55,775,98,1084,18043
56,814,85,976,18125
57,853,81,870,18196
58,902,69,789,18240
59,948,48,710,18294
60,977,54,636,18333
61,1033,50,559,18358
62,1089,45,494,18372
63,1144,41,441,18374
64,1189,45,384,18382
65,1234,47,337,18382
66,1277,55,298,18370
67,1319,50,269,18362
68,1378,40,241,18341
69,1430,35,216,18319
70,1489,27,198,18286
71,1549,34,173,18244
72,1605,28,164,18203
73,1661,22,151,18166
74,1729,18,134,18119
75,1790,17,118,18075
76,1838,24,103,18035
77,1895,15,99,17991
78,1942,19,90,17949
79,2014,17,88,17881
80,2073,24,80,17823
81,2126,19,84,17771
82,2183,13,79,17725
83,2235,17,75,17673
84,2291,15,73,17621
85,2347,14,69,17570
86,2413,14,63,17510
87,2455,15,59,17471
88,2503,13,54,17430
89,2555,10,52,17383
90,2609,10,38,17343
