Jour,Susceptible,Exposed,Infected,recovered
0,19961,19,20,0
1,19942,27,28,3
2,19926,31,38,5
3,19903,41,48,8
4,19877,54,53,16
5,19839,66,69,26
6,19793,79,95,33
7,19724,123,102,51
8,19641,163,130,66
9,19556,192,176,76
10,19426,248,229,97
11,19257,330,293,120
12,19064,386,386,164
13,18814,490,482,214
14,18519,611,597,273
15,18138,764,753,345
16,17640,960,970,430
17,17057,1189,1177,577
18,16399,1387,1484,730
19,15594,1658,1815,933
20,14659,1967,2202,1172
21,13564,2311,2659,1466
22,12447,2555,3210,1788
23,11197,2847,3750,2206
24,9817,3201,4267,2715
25,8497,3333,4885,3285
26,7164,3456,5437,3943
27,5938,3463,5971,4628
28,4896,3232,6453,5419
29,3941,3044,6727,6288
30,3108,2828,6868,7196
31,2462,2493,6973,8072
32,1954,2153,6951,8942
33,1587,1843,6739,9831
34,1277,1576,6443,10704
35,1027,1340,6094,11539
36,868,1141,5661,12330
37,765,915,5233,13087
38,676,748,4846,13730
39,608,619,4409,14364
40,570,500,4004,14926
41,558,411,3645,15386
42,547,344,3295,15814
43,544,292,2941,16223
44,546,269,2600,16585
45,556,235,2335,16874
46,572,199,2113,17116
47,611,160,1911,17318
48,630,162,1709,17499
49,649,131,1544,17676
50,670,113,1387,17830
51,695,103,1208,17994
52,740,84,1087,18089
53,787,85,968,18160
54,838,81,872,18209
55,890,71,780,18259
56,934,68,699,18299
57,991,64,623,18322
58,1055,56,560,18329
59,1091,56,502,18351
60,1146,54,447,18353
61,1196,45,408,18351
62,1264,43,372,18321
63,1305,40,331,18324
64,1352,40,306,18302
65,1420,39,272,18269
66,1466,37,251,18246
67,1521,30,227,18222
68,1560,32,203,18205
69,1617,31,185,18167
70,1671,32,168,18129
71,1721,29,160,18090
72,1766,29,152,18053
73,1828,34,132,18006
74,1866,37,123,17974
75,1913,30,113,17944
76,1951,24,102,17923
77,2010,13,95,17882
78,2074,17,83,17826
79,2124,18,72,17786
80,2180,13,68,17739
81,2251,14,67,17668
82,2299,9,58,17634
83,2344,11,53,17592
84,2397,9,49,17545
85,2442,14,47,17497
86,2501,11,50,17438
87,2536,13,48,17403
88,2590,10,45,17355
89,2639,7,41,17313
90,2697,7,35,17261
91,2750,7,28,17215
92,2800,8,28,17164
93,2844,8,26,17122
94,2899,12,25,17064
95,2952,7,24,17017
96,3000,10,22,16968
97,3042,6,25,16927
98,3087,5,20,16888
99,3132,3,20,16845
100,3196,4,21,16779
101,3247,2,21,16730
102,3299,4,17,16680
103,3358,4,14,16624
104,3419,4,15,16562
105,3468,5,15,16512
106,3515,6,15,16464
107,3561,7,13,16419
108,3610,5,14,16371
109,3657,7,15,16321
110,3721,6,19,16254
111,3775,4,20,16201
112,3835,4,17,16144
113,3877,4,17,16102
114,3915,5,15,16065
115,3959,4,15,16022
116,3995,6,14,15985
117,4043,5,15,15937
118,4095,4,16,15885
119,4144,7,15,15834
120,4188,7,16,15789
121,4248,6,17,15729
122,4295,10,17,15678
123,4330,11,14,15645
124,4362,8,16,15614
125,4405,9,17,15569
126,4439,9,16,15536
127,4486,4,19,15491
128,4524,4,19,15453
129,4567,5,17,15411
130,4604,4,17,15375
131,4656,3,18,15323
132,4699,7,17,15277
133,4733,8,19,15240
134,4773,12,19,15196
135,4810,11,21,15158
136,4851,15,22,15112
137,4892,15,20,15073
138,4928,13,22,15037
139,4983,14,24,14979
140,5028,7,28,14937
141,5062,13,27,14898
142,5104,15,27,14854
143,5138,13,25,14824
144,5177,16,23,14784
145,5220,15,24,14741
146,5259,14,22,14705
147,5292,13,24,14671
148,5328,16,23,14633
149,5368,17,27,14588
150,5405,11,35,14549
151,5450,11,31,14508
152,5478,12,34,14476
153,5503,16,32,14449
154,5541,17,37,14405
155,5576,20,30,14374
156,5618,18,33,14331
157,5654,19,35,14292
158,5683,18,40,14259
159,5710,18,41,14231
160,5733,20,46,14201
161,5768,17,47,14168
162,5803,22,48,14127
163,5836,18,48,14098
164,5872,11,52,14065
165,5888,24,39,14049
166,5921,20,45,14014
167,5947,25,44,13984
168,5970,18,53,13959
169,5992,21,53,13934
170,6012,27,49,13912
171,6046,26,50,13878
172,6073,21,54,13852
173,6095,29,57,13819
174,6128,28,60,13784
175,6160,35,60,13745
176,6172,31,73,13724
177,6199,30,79,13692
178,6222,37,83,13658
179,6247,41,87,13625
180,6268,49,87,13596
181,6289,47,89,13575
182,6318,46,89,13547
183,6341,55,91,13513
184,6363,56,97,13484
185,6368,67,96,13469
186,6389,57,113,13441
187,6398,62,118,13422
188,6403,60,127,13410
189,6419,58,137,13386
190,6437,51,149,13363
191,6454,66,148,13332
192,6469,75,154,13302
193,6460,91,161,13288
194,6450,99,175,13276
195,6452,103,190,13255
196,6445,126,180,13249
197,6440,124,206,13230
198,6434,130,211,13225
199,6437,124,234,13205
200,6418,130,248,13204
201,6411,134,264,13191
202,6388,143,279,13190
203,6366,148,301,13185
204,6355,146,307,13192
205,6322,181,306,13191
206,6301,170,324,13205
207,6264,188,339,13209
208,6226,197,369,13208
209,6196,186,400,13218
210,6149,204,415,13232
211,6099,201,452,13248
212,6039,246,442,13273
213,5964,250,487,13299
214,5908,254,509,13329
215,5849,263,524,13364
216,5803,263,538,13396
217,5768,263,568,13401
218,5721,273,579,13427
219,5637,301,597,13465
220,5555,320,635,13490
221,5470,329,668,13533
222,5388,344,689,13579
223,5305,357,713,13625
224,5210,368,730,13692
225,5115,386,759,13740
226,5029,382,796,13793
227,4921,383,831,13865
228,4834,385,865,13916
229,4771,385,883,13961
230,4673,415,870,14042
231,4582,402,906,14110
232,4475,424,908,14193
233,4365,430,953,14252
234,4277,406,968,14349
235,4189,396,998,14417
236,4073,407,1027,14493
237,3981,405,1025,14589
238,3903,401,1021,14675
239,3823,384,1040,14753
240,3798,354,1042,14806
241,3693,399,1027,14881
242,3626,369,1052,14953
243,3580,359,1051,15010
244,3534,346,1039,15081
245,3485,323,1031,15161
246,3425,354,1003,15218
247,3378,328,991,15303
248,3351,307,970,15372
249,3282,325,935,15458
250,3245,305,936,15514
251,3198,311,894,15597
252,3166,292,898,15644
253,3164,290,863,15683
254,3154,282,835,15729
255,3152,259,832,15757
256,3155,245,793,15807
257,3147,242,780,15831
258,3135,217,781,15867
259,3114,231,762,15893
260,3117,230,748,15905
261,3107,230,731,15932
262,3099,251,698,15952
263,3099,229,702,15970
264,3119,203,690,15988
265,3115,216,650,16019
266,3124,217,638,16021
267,3129,202,617,16052
268,3141,209,597,16053
269,3158,206,584,16052
270,3176,206,567,16051
271,3179,201,541,16079
272,3202,207,526,16065
273,3236,182,534,16048
274,3280,160,523,16037
275,3306,148,496,16050
276,3326,144,477,16053
277,3351,147,463,16039
278,3363,145,468,16024
279,3396,136,464,16004
280,3408,140,443,16009
281,3412,167,430,15991
282,3446,152,429,15973
283,3476,164,412,15948
284,3526,150,405,15919
285,3564,139,407,15890
286,3592,152,398,15858
287,3621,142,401,15836
288,3641,135,421,15803
289,3658,145,429,15768
290,3667,153,417,15763
291,3708,135,433,15724
292,3721,157,419,15703
293,3754,157,418,15671
294,3787,144,432,15637
295,3829,138,427,15606
296,3858,136,436,15570
297,3878,133,439,15550
298,3900,138,437,15525
299,3926,148,411,15515
300,3967,142,408,15483
301,4014,127,410,15449
302,4050,136,394,15420
303,4080,131,387,15402
304,4106,132,403,15359
305,4120,151,385,15344
306,4159,147,384,15310
307,4201,140,397,15262
308,4230,139,397,15234
309,4237,158,379,15226
310,4276,146,399,15179
311,4305,161,388,15146
312,4321,165,388,15126
313,4349,167,386,15098
314,4369,156,398,15077
315,4406,160,389,15045
316,4427,160,389,15024
317,4457,167,378,14998
318,4486,173,373,14968
319,4502,171,375,14952
320,4530,179,373,14918
321,4569,164,379,14888
322,4591,165,399,14845
323,4630,176,402,14792
324,4635,177,407,14781
325,4656,171,430,14743
326,4668,174,436,14722
327,4686,178,441,14695
328,4702,188,432,14678
329,4721,182,452,14645
330,4738,193,449,14620
331,4768,200,452,14580
332,4749,197,484,14570
333,4751,208,495,14546
334,4749,206,504,14541
335,4748,242,486,14524
336,4760,230,498,14512
337,4749,246,523,14482
338,4749,228,532,14491
339,4753,230,534,14483
340,4754,213,547,14486
341,4766,221,548,14465
342,4731,247,554,14468
343,4720,253,563,14464
344,4696,265,560,14479
345,4688,264,572,14476
346,4674,277,573,14476
347,4698,262,588,14452
348,4678,265,604,14453
349,4683,267,603,14447
350,4658,271,594,14477
351,4633,293,603,14471
352,4628,270,630,14472
353,4609,283,638,14470
354,4597,288,649,14466
355,4603,284,651,14462
356,4608,280,669,14443
357,4576,291,694,14439
358,4524,311,706,14459
359,4479,327,732,14462
360,4441,337,746,14476
361,4398,333,752,14517
362,4365,346,769,14520
363,4343,341,785,14531
364,4321,346,816,14517
365,4289,332,825,14554
366,4271,303,852,14574
367,4236,333,839,14592
368,4259,287,847,14607
369,4224,312,820,14644
370,4179,337,819,14665
371,4176,315,843,14666
372,4157,311,856,14676
373,4155,303,857,14685
374,4129,328,833,14710
375,4113,320,823,14744
376,4102,324,799,14775
377,4103,305,820,14772
378,4068,311,824,14797
379,4058,300,821,14821
380,4028,288,842,14842
381,4032,284,824,14860
382,4004,308,794,14894
383,3978,300,807,14915
384,3960,295,801,14944
385,3950,291,796,14963
386,3964,272,780,14984
387,3939,278,774,15009
388,3941,266,774,15019
389,3913,277,758,15052
390,3929,258,750,15063
391,3924,258,727,15091
392,3911,249,734,15106
393,3911,248,736,15105
394,3929,244,727,15100
395,3938,276,673,15113
396,3923,288,681,15108
397,3935,282,670,15113
398,3939,290,677,15094
399,3946,280,691,15083
400,3975,252,701,15072
401,3979,250,700,15071
402,4002,245,695,15058
403,4020,235,709,15036
404,3982,290,662,15066
405,4000,259,687,15054
406,3992,263,670,15075
407,3988,272,663,15077
408,3984,282,662,15072
409,4001,256,685,15058
410,3998,253,670,15079
411,4005,268,655,15072
412,4021,251,646,15082
413,4055,235,651,15059
414,4064,235,636,15065
415,4084,235,634,15047
416,4095,242,616,15047
417,4115,235,615,15035
418,4148,235,604,15013
419,4153,231,605,15011
420,4188,227,606,14979
421,4194,225,612,14969
422,4205,222,619,14954
423,4213,222,604,14961
424,4222,207,614,14957
425,4224,235,598,14943
426,4225,228,607,14940
427,4235,221,602,14942
428,4226,225,596,14953
429,4223,252,596,14929
430,4261,241,616,14882
431,4259,246,631,14864
432,4260,249,641,14850
433,4271,253,648,14828
434,4255,257,640,14848
435,4249,259,644,14848
436,4236,272,664,14828
437,4251,253,661,14835
438,4254,271,647,14828
439,4263,261,661,14815
440,4239,275,668,14818
441,4241,281,660,14818
442,4225,274,680,14821
443,4229,274,672,14825
444,4201,282,684,14833
445,4183,274,703,14840
446,4166,279,710,14845
447,4139,301,700,14860
448,4129,271,729,14871
449,4135,257,731,14877
450,4128,246,727,14899
451,4114,248,728,14910
452,4097,259,727,14917
453,4093,261,748,14898
454,4072,271,723,14934
455,4090,255,741,14914
456,4113,253,737,14897
457,4120,240,735,14905
458,4121,249,733,14897
459,4110,270,722,14898
460,4082,282,722,14914
461,4077,280,709,14934
462,4043,299,695,14963
463,4008,303,724,14965
464,3998,280,720,15002
465,3994,295,707,15004
466,4013,285,688,15014
467,3995,286,697,15022
468,3994,279,708,15019
469,3994,255,731,15020
470,3989,267,713,15031
471,3995,268,696,15041
472,3997,260,698,15045
473,4001,251,685,15063
474,4009,238,689,15064
475,4021,241,665,15073
476,3994,263,657,15086
477,3986,266,663,15085
478,3974,265,680,15081
479,3981,253,676,15090
480,3975,284,656,15085
481,3979,272,673,15076
482,3991,255,680,15074
483,3986,252,690,15072
484,3980,261,685,15074
485,3974,273,675,15078
486,3991,260,682,15067
487,3978,249,690,15083
488,4012,229,696,15063
489,4009,246,688,15057
490,3990,263,650,15097
491,3961,279,653,15107
492,3983,250,669,15098
493,3986,259,639,15116
494,3980,270,646,15104
495,4008,237,664,15091
496,4023,246,654,15077
497,4020,263,650,15067
498,4041,247,639,15073
499,4053,240,644,15063
500,4050,252,630,15068
501,4028,271,625,15076
502,4006,277,633,15084
503,3993,268,647,15092
504,3982,258,651,15109
505,3973,252,663,15112
506,3972,262,653,15113
507,3965,269,657,15109
508,3966,252,654,15128
509,3965,240,666,15129
510,3966,260,653,15121
511,3950,247,668,15135
512,3964,253,669,15114
513,3969,237,674,15120
514,3958,232,694,15116
515,3958,253,667,15122
516,3974,242,651,15133
517,3964,250,644,15142
518,3960,260,645,15135
519,3948,247,652,15153
520,3941,247,647,15165
521,3940,245,653,15162
522,3933,261,646,15160
523,3929,260,656,15155
524,3948,251,649,15152
525,3972,246,648,15134
526,3983,236,647,15134
527,4010,236,635,15119
528,3996,261,626,15117
529,4013,253,646,15088
530,4015,246,650,15089
531,4015,245,644,15096
532,4019,251,627,15103
533,4035,250,619,15096
534,4043,219,636,15102
535,4032,222,617,15129
536,4040,223,601,15136
537,4020,244,592,15144
538,4042,218,617,15123
539,4025,243,614,15118
540,4023,254,602,15121
541,4027,251,611,15111
542,4027,265,626,15082
543,4051,243,643,15063
544,4060,253,642,15045
545,4065,268,634,15033
546,4067,257,649,15027
547,4050,279,636,15035
548,4064,258,655,15023
549,4061,261,645,15033
550,4079,235,654,15032
551,4058,256,648,15038
552,4065,245,657,15033
553,4082,245,667,15006
554,4076,242,666,15016
555,4054,250,672,15024
556,4030,277,647,15046
557,4028,250,656,15066
558,4063,225,647,15065
559,4089,241,592,15078
560,4095,247,584,15074
561,4101,259,580,15060
562,4106,249,563,15082
563,4130,232,561,15077
564,4157,217,572,15054
565,4180,216,576,15028
566,4217,233,570,14980
567,4223,222,582,14973
568,4204,230,587,14979
569,4190,243,595,14972
570,4216,249,598,14937
571,4221,230,615,14934
572,4215,236,603,14946
573,4225,237,608,14930
574,4210,253,598,14939
575,4206,243,593,14958
576,4207,222,601,14970
577,4197,236,599,14968
578,4198,228,596,14978
579,4206,238,607,14949
580,4228,228,632,14912
581,4222,232,639,14907
582,4228,230,639,14903
583,4229,248,633,14890
584,4234,245,636,14885
585,4236,258,637,14869
586,4259,256,644,14841
587,4246,252,648,14854
588,4210,265,653,14872
589,4197,260,663,14880
590,4193,255,674,14878
591,4185,238,696,14881
592,4184,252,682,14882
593,4181,252,677,14890
594,4173,252,686,14889
595,4165,263,679,14893
596,4162,262,692,14884
597,4165,255,698,14882
598,4156,276,694,14874
599,4166,241,722,14871
600,4157,269,701,14873
601,4155,271,694,14880
602,4138,284,690,14888
603,4110,296,698,14896
604,4119,287,712,14882
605,4116,274,713,14897
606,4097,285,703,14915
607,4095,258,712,14935
608,4075,259,702,14964
609,4076,254,702,14968
610,4074,266,688,14972
611,4093,262,682,14963
612,4109,263,676,14952
613,4119,250,680,14951
614,4095,270,676,14959
615,4116,259,711,14914
616,4097,283,702,14918
617,4122,261,713,14904
618,4115,277,710,14898
619,4122,269,726,14883
620,4135,239,750,14876
621,4105,260,723,14912
622,4085,269,699,14947
623,4079,266,688,14967
624,4095,266,679,14960
625,4093,278,664,14965
626,4081,277,698,14944
627,4079,266,711,14944
628,4085,276,711,14928
629,4061,285,708,14946
630,4055,274,713,14958
631,4057,253,723,14967
632,4052,260,727,14961
633,4065,260,739,14936
634,4047,263,731,14959
635,4058,272,715,14955
636,4089,271,703,14937
637,4075,280,690,14955
638,4082,246,701,14971
639,4073,272,698,14957
640,4070,265,697,14968
641,4064,274,686,14976
642,4057,273,689,14981
643,4078,263,683,14976
644,4103,263,673,14961
645,4112,261,665,14962
646,4105,266,654,14975
647,4100,262,656,14982
648,4122,242,655,14981
649,4137,246,665,14952
650,4149,260,665,14926
651,4162,248,666,14924
652,4144,270,660,14926
653,4134,285,662,14919
654,4147,279,663,14911
655,4170,265,675,14890
656,4190,268,670,14872
657,4204,287,668,14841
658,4212,272,663,14853
659,4239,249,680,14832
660,4217,281,665,14837
661,4249,253,693,14805
662,4279,240,689,14792
663,4300,256,674,14770
664,4319,238,667,14776
665,4323,259,667,14751
666,4325,238,687,14750
667,4307,270,653,14770
668,4302,271,649,14778
669,4302,247,673,14778
670,4299,244,682,14775
671,4265,272,694,14769
672,4262,280,684,14774
673,4239,297,708,14756
674,4230,283,720,14767
675,4224,261,723,14792
676,4233,259,723,14785
677,4202,275,715,14808
678,4209,266,710,14815
679,4188,273,707,14832
680,4184,270,702,14844
681,4180,274,690,14856
682,4174,283,692,14851
683,4158,288,710,14844
684,4138,293,720,14849
685,4129,306,720,14845
686,4121,300,729,14850
687,4108,320,717,14855
688,4116,278,757,14849
689,4086,299,761,14854
690,4083,293,778,14846
691,4103,264,791,14842
692,4096,283,775,14846
693,4063,299,761,14877
694,4072,276,776,14876
695,4056,282,759,14903
696,4037,279,743,14941
697,4026,282,741,14951
698,4032,274,752,14942
699,4023,281,737,14959
700,4012,279,733,14976
701,4047,264,736,14953
702,4050,270,719,14961
703,4034,284,708,14974
704,4033,282,701,14984
705,4036,285,702,14977
706,4055,282,707,14956
707,4052,287,693,14968
708,4047,289,709,14955
709,4008,297,715,14980
710,4011,261,719,15009
711,4006,269,718,15007
712,4009,274,706,15011
713,3973,283,710,15034
714,3964,285,712,15039
715,3978,295,696,15031
716,3983,297,702,15018
717,3953,286,727,15034
718,3955,284,743,15018
719,3956,291,736,15017
720,3927,305,742,15026
721,3913,289,748,15050
722,3922,276,758,15044
723,3902,312,734,15052
724,3911,283,755,15051
725,3918,275,763,15044
726,3933,272,764,15031
727,3920,266,752,15062
728,3922,269,762,15047
729,3918,283,770,15029
