Jour,Susceptible,Exposed,Infected,recovered
0,19969,11,20,0
1,19956,18,23,3
2,19934,31,31,4
3,19904,49,37,10
4,19878,56,49,17
5,19845,76,55,24
6,19804,92,72,32
7,19753,112,96,39
8,19701,126,118,55
9,19615,166,140,79
10,19531,193,182,94
11,19401,254,223,122
12,19228,326,296,150
13,19042,383,386,189
14,18803,473,485,239
15,18482,600,608,310
16,18084,769,758,389
17,17591,958,962,489
18,17008,1195,1169,628
19,16327,1441,1431,801
20,15572,1668,1787,973
21,14635,1983,2178,1204
22,13564,2337,2601,1498
23,12371,2661,3141,1827
24,11130,2925,3697,2248
25,9773,3214,4291,2722
26,8400,3378,4942,3280
27,7030,3492,5578,3900
28,5795,3511,6080,4614
29,4733,3330,6492,5445
30,3797,3128,6767,6308
31,3012,2845,6922,7221
32,2342,2494,7035,8129
33,1824,2223,6923,9030
34,1453,1917,6761,9869
35,1197,1598,6484,10721
36,954,1349,6123,11574
37,802,1088,5718,12392
38,693,912,5289,13106
39,618,739,4866,13777
40,580,600,4438,14382
41,535,500,4008,14957
42,514,398,3660,15428
43,506,325,3322,15847
44,492,281,2981,16246
45,504,238,2666,16592
46,518,197,2427,16858
47,536,176,2151,17137
48,560,155,1934,17351
49,595,123,1747,17535
50,611,132,1554,17703
51,635,109,1395,17861
52,671,112,1238,17979
53,702,98,1099,18101
54,753,74,977,18196
55,803,70,839,18288
56,843,76,737,18344
57,896,65,645,18394
58,945,58,581,18416
59,990,63,512,18435
60,1030,55,470,18445
61,1078,48,416,18458
62,1126,53,372,18449
63,1189,42,333,18436
64,1239,35,287,18439
65,1303,33,253,18411
66,1363,25,232,18380
67,1422,22,215,18341
68,1473,27,198,18302
69,1518,25,182,18275
70,1563,24,166,18247
71,1623,20,144,18213
72,1683,26,134,18157
73,1733,24,131,18112
74,1784,29,119,18068
75,1835,31,111,18023
76,1882,25,112,17981
77,1929,23,105,17943
78,1989,18,91,17902
79,2046,22,82,17850
80,2091,18,75,17816
81,2142,15,72,17771
82,2212,14,64,17710
83,2269,17,60,17654
84,2312,14,56,17618
85,2366,18,50,17566
86,2423,19,49,17509
87,2476,8,51,17465
88,2533,7,49,17411
89,2588,9,42,17361
90,2631,9,38,17322
91,2676,9,38,17277
92,2726,11,30,17233
93,2779,11,28,17182
94,2837,13,28,17122
95,2873,12,26,17089
96,2928,8,26,17038
97,2982,8,22,16988
98,3027,9,19,16945
99,3079,5,22,16894
100,3127,8,15,16850
101,3170,8,16,16806
102,3222,8,19,16751
103,3272,4,21,16703
104,3317,3,20,16660
105,3377,4,18,16601
106,3433,4,15,16548
107,3480,4,13,16503
108,3535,4,12,16449
109,3577,3,12,16408
110,3633,4,10,16353
111,3671,5,9,16315
112,3712,3,10,16275
113,3752,2,9,16237
114,3809,3,8,16180
115,3860,6,8,16126
116,3909,5,8,16078
117,3957,6,7,16030
118,3999,8,5,15988
119,4046,4,8,15942
120,4089,3,7,15901
121,4144,2,7,15847
122,4193,2,8,15797
123,4255,1,7,15737
124,4302,0,7,15691
125,4337,1,7,15655
126,4379,1,8,15612
127,4417,1,7,15575
128,4454,2,7,15537
