Jour,Susceptible,Exposed,Infected,recovered
0,19971,9,20,0
1,19955,20,24,1
2,19934,33,26,7
3,19919,35,37,9
4,19892,48,47,13
5,19861,64,60,15
6,19827,76,77,20
7,19773,98,105,24
8,19689,148,127,36
9,19600,183,167,50
10,19483,231,220,66
11,19336,301,268,95
12,19153,363,349,135
13,18922,452,449,177
14,18629,555,585,231
15,18229,726,743,302
16,17753,901,932,414
17,17221,1084,1166,529
18,16525,1342,1454,679
19,15690,1709,1724,877
20,14760,1979,2173,1088
21,13655,2364,2635,1346
22,12445,2685,3175,1695
23,11104,3012,3777,2107
24,9749,3267,4381,2603
25,8372,3445,5042,3141
26,7004,3599,5616,3781
27,5812,3499,6150,4539
28,4703,3438,6485,5374
29,3774,3211,6788,6227
30,2956,2910,7053,7081
31,2351,2531,7082,8036
32,1828,2212,6986,8974
33,1443,1889,6777,9891
34,1168,1604,6434,10794
35,943,1342,6099,11616
36,813,1059,5763,12365
37,693,893,5282,13132
38,625,717,4851,13807
39,569,610,4396,14425
40,527,516,3972,14985
41,504,440,3616,15440
42,510,351,3286,15853
43,511,284,2981,16224
44,508,240,2684,16568
45,530,208,2399,16863
46,545,176,2124,17155
47,558,154,1916,17372
48,593,137,1695,17575
49,633,122,1500,17745
50,668,116,1330,17886
51,698,99,1197,18006
52,738,99,1058,18105
53,780,84,927,18209
54,821,76,822,18281
55,881,70,743,18306
56,915,73,657,18355
57,981,65,579,18375
58,1024,56,529,18391
59,1073,46,468,18413
60,1139,38,419,18404
61,1187,37,372,18404
62,1235,43,326,18396
63,1287,41,278,18394
64,1344,38,253,18365
65,1392,42,215,18351
66,1447,36,200,18317
67,1502,27,189,18282
68,1557,27,165,18251
69,1608,27,150,18215
70,1661,22,140,18177
71,1721,18,135,18126
72,1780,21,121,18078
73,1827,23,107,18043
74,1874,17,93,18016
75,1912,19,89,17980
76,1963,21,77,17939
77,2023,15,75,17887
78,2079,12,72,17837
79,2142,13,68,17777
80,2194,19,60,17727
81,2255,14,59,17672
82,2304,13,57,17626
83,2353,10,55,17582
84,2416,9,48,17527
85,2469,10,47,17474
86,2524,9,47,17420
87,2587,8,42,17363
88,2627,12,40,17321
89,2669,11,39,17281
90,2723,11,33,17233
91,2779,12,35,17174
92,2827,10,34,17129
93,2890,12,33,17065
94,2945,14,30,17011
95,2992,13,27,16968
96,3044,14,25,16917
97,3086,13,22,16879
98,3126,13,20,16841
99,3189,11,19,16781
100,3239,11,20,16730
101,3277,12,22,16689
102,3315,11,23,16651
103,3370,10,21,16599
104,3420,5,24,16551
105,3455,8,19,16518
106,3492,9,19,16480
107,3540,8,21,16431
108,3586,9,20,16385
109,3628,9,21,16342
110,3676,9,22,16293
111,3727,8,22,16243
112,3779,5,21,16195
113,3825,8,21,16146
114,3871,5,23,16101
115,3923,3,25,16049
116,3966,7,24,16003
117,4011,9,18,15962
118,4050,7,18,15925
119,4101,5,18,15876
120,4142,5,17,15836
121,4183,6,17,15794
122,4222,6,16,15756
123,4271,6,15,15708
124,4313,8,16,15663
125,4364,7,18,15611
126,4414,9,19,15558
127,4473,10,16,15501
128,4514,9,18,15459
129,4551,6,20,15423
130,4603,11,16,15370
131,4657,8,18,15317
132,4685,8,18,15289
133,4734,10,20,15236
134,4775,8,20,15197
135,4810,13,19,15158
136,4852,10,23,15115
137,4892,5,27,15076
138,4923,6,24,15047
139,4961,5,24,15010
140,5005,5,24,14966
141,5048,8,23,14921
142,5087,14,22,14877
143,5121,15,21,14843
144,5171,12,24,14793
145,5207,13,24,14756
146,5242,13,24,14721
147,5276,19,26,14679
148,5315,22,25,14638
149,5346,17,25,14612
150,5389,20,26,14565
151,5433,15,31,14521
152,5470,18,32,14480
153,5511,23,31,14435
154,5546,23,32,14399
155,5582,19,38,14361
156,5627,22,35,14316
157,5660,18,36,14286
158,5713,19,35,14233
159,5753,26,35,14186
160,5782,22,36,14160
161,5822,23,38,14117
162,5863,18,44,14075
163,5897,26,38,14039
164,5935,24,40,14001
165,5974,18,46,13962
166,5999,21,45,13935
167,6045,24,48,13883
168,6062,26,48,13864
169,6098,27,51,13824
170,6120,24,54,13802
171,6150,26,55,13769
172,6181,25,62,13732
173,6212,30,65,13693
174,6237,34,69,13660
175,6276,32,73,13619
176,6292,30,81,13597
177,6317,38,79,13566
178,6332,41,85,13542
179,6348,47,91,13514
180,6363,56,91,13490
181,6381,53,103,13463
182,6400,59,105,13436
183,6421,62,106,13411
184,6428,64,109,13399
185,6447,75,115,13363
186,6478,57,129,13336
187,6489,63,129,13319
188,6497,76,128,13299
189,6516,72,145,13267
190,6533,74,145,13248
191,6541,75,151,13233
192,6541,91,148,13220
193,6554,82,156,13208
194,6558,98,161,13183
195,6554,101,170,13175
196,6555,108,180,13157
197,6557,108,184,13151
198,6557,118,193,13132
199,6549,116,207,13128
200,6548,118,223,13111
201,6540,121,226,13113
202,6520,132,240,13108
203,6499,145,252,13104
204,6491,146,272,13091
205,6480,163,291,13066
206,6461,174,311,13054
207,6430,181,339,13050
208,6384,205,360,13051
209,6330,218,392,13060
210,6286,228,403,13083
211,6247,210,444,13099
212,6184,228,481,13107
213,6121,250,499,13130
214,6051,266,527,13156
215,5942,305,555,13198
216,5864,305,598,13233
217,5775,333,634,13258
218,5675,349,691,13285
219,5595,356,722,13327
220,5500,356,763,13381
221,5409,369,781,13441
222,5295,383,828,13494
223,5192,396,854,13558
224,5097,388,884,13631
225,4992,405,907,13696
226,4891,402,927,13780
227,4776,437,918,13869
228,4677,423,952,13948
229,4566,449,958,14027
230,4460,437,991,14112
231,4363,427,1014,14196
232,4266,413,1017,14304
233,4156,425,1022,14397
234,4087,402,1052,14459
235,3989,409,1068,14534
236,3912,410,1055,14623
237,3831,399,1057,14713
238,3765,385,1052,14798
239,3679,369,1066,14886
240,3596,384,1071,14949
241,3517,388,1071,15024
242,3433,397,1050,15120
243,3375,381,1064,15180
244,3304,392,1060,15244
245,3276,356,1045,15323
246,3229,369,997,15405
247,3199,353,979,15469
248,3181,323,969,15527
249,3150,306,944,15600
250,3134,288,923,15655
251,3109,279,905,15707
252,3072,289,866,15773
253,3059,264,846,15831
254,3051,257,809,15883
255,3024,248,801,15927
256,3021,224,794,15961
257,3007,217,756,16020
258,3000,223,732,16045
259,3012,225,690,16073
260,3016,224,686,16074
261,3026,191,697,16086
262,3053,194,662,16091
263,3060,211,632,16097
264,3063,200,622,16115
265,3075,190,610,16125
266,3089,181,594,16136
267,3096,181,577,16146
268,3110,169,572,16149
269,3115,162,563,16160
270,3130,160,550,16160
271,3154,156,517,16173
272,3199,158,502,16141
273,3220,175,467,16138
274,3232,181,452,16135
275,3233,167,455,16145
276,3255,180,447,16118
277,3289,166,443,16102
278,3323,155,432,16090
279,3354,138,430,16078
280,3395,156,398,16051
281,3430,141,399,16030
282,3435,143,386,16036
283,3476,134,385,16005
284,3520,120,401,15959
285,3554,125,381,15940
286,3598,128,370,15904
287,3642,115,372,15871
288,3668,122,369,15841
289,3688,134,368,15810
290,3709,136,366,15789
291,3740,130,364,15766
292,3782,131,356,15731
293,3850,130,350,15670
294,3893,133,330,15644
295,3912,144,333,15611
296,3963,140,335,15562
297,3997,142,341,15520
298,4033,141,342,15484
299,4067,142,340,15451
300,4099,143,335,15423
301,4128,158,339,15375
302,4161,155,337,15347
303,4185,160,341,15314
304,4226,136,346,15292
305,4262,149,341,15248
306,4296,155,346,15203
307,4326,144,354,15176
308,4372,132,365,15131
309,4387,146,353,15114
310,4414,157,344,15085
311,4445,156,350,15049
312,4466,151,359,15024
313,4493,164,354,14989
314,4521,170,353,14956
315,4554,171,363,14912
316,4575,163,373,14889
317,4629,161,372,14838
318,4626,188,369,14817
319,4654,163,398,14785
320,4670,168,404,14758
321,4693,169,406,14732
322,4715,191,391,14703
323,4734,178,410,14678
324,4748,180,420,14652
325,4771,181,427,14621
326,4791,179,428,14602
327,4795,205,424,14576
328,4817,185,439,14559
329,4823,193,438,14546
330,4833,186,460,14521
331,4857,190,460,14493
332,4852,201,452,14495
333,4847,194,475,14484
334,4863,214,482,14441
335,4879,223,489,14409
336,4879,207,505,14409
337,4886,212,509,14393
338,4881,226,511,14382
339,4891,220,543,14346
340,4887,248,544,14321
341,4887,272,554,14287
342,4889,257,573,14281
343,4874,256,573,14297
344,4861,277,584,14278
345,4853,278,597,14272
346,4837,290,626,14247
347,4811,299,638,14252
348,4779,282,670,14269
349,4755,297,690,14258
350,4725,322,691,14262
351,4686,323,710,14281
352,4670,335,724,14271
353,4650,324,757,14269
354,4596,346,765,14293
355,4571,321,786,14322
356,4530,342,796,14332
357,4505,346,802,14347
358,4489,331,836,14344
359,4452,349,823,14376
360,4425,351,845,14379
361,4374,364,849,14413
362,4328,368,856,14448
363,4282,351,871,14496
364,4243,354,867,14536
365,4202,366,866,14566
366,4187,324,901,14588
367,4161,329,902,14608
368,4113,345,895,14647
369,4076,344,904,14676
370,4045,336,917,14702
371,4059,337,893,14711
372,4027,330,895,14748
373,3998,322,905,14775
374,3960,330,890,14820
375,3939,317,900,14844
376,3896,336,883,14885
377,3857,336,892,14915
378,3824,321,895,14960
379,3801,316,883,15000
380,3809,298,875,15018
381,3797,287,875,15041
382,3800,301,846,15053
383,3804,287,836,15073
384,3768,312,824,15096
385,3748,321,820,15111
386,3723,306,829,15142
387,3708,300,827,15165
388,3691,300,799,15210
389,3679,290,791,15240
390,3688,279,783,15250
391,3653,297,766,15284
392,3653,285,768,15294
393,3649,297,766,15288
394,3653,289,779,15279
395,3675,269,777,15279
396,3659,284,772,15285
397,3644,283,757,15316
398,3633,284,749,15334
399,3644,273,751,15332
400,3662,255,764,15319
401,3651,268,735,15346
402,3673,255,720,15352
403,3702,242,702,15354
404,3700,239,698,15363
405,3712,243,683,15362
406,3753,226,677,15344
407,3767,227,663,15343
408,3777,229,659,15335
409,3813,226,651,15310
410,3827,234,638,15301
411,3849,252,634,15265
412,3856,249,624,15271
413,3884,222,623,15271
414,3911,220,599,15270
415,3933,218,574,15275
416,3926,249,558,15267
417,3937,241,552,15270
418,3962,214,583,15241
419,4010,220,571,15199
420,4030,220,581,15169
421,4051,239,555,15155
422,4075,237,546,15142
423,4103,222,534,15141
424,4123,219,555,15103
425,4126,220,565,15089
426,4145,218,572,15065
427,4156,230,564,15050
428,4171,234,583,15012
429,4215,222,565,14998
430,4237,236,565,14962
431,4244,222,580,14954
432,4269,204,598,14929
433,4294,203,601,14902
434,4308,221,588,14883
435,4305,229,585,14881
436,4303,256,590,14851
437,4327,222,616,14835
438,4339,230,616,14815
439,4336,234,618,14812
440,4340,236,617,14807
441,4377,241,600,14782
442,4364,246,604,14786
443,4385,239,618,14758
444,4379,253,606,14762
445,4385,260,616,14739
446,4378,255,623,14744
447,4398,246,621,14735
448,4400,234,623,14743
449,4394,234,622,14750
450,4396,247,613,14744
451,4386,260,580,14774
452,4400,263,596,14741
453,4410,239,614,14737
454,4424,241,602,14733
455,4398,246,604,14752
456,4424,242,611,14723
457,4414,264,616,14706
458,4400,254,630,14716
459,4382,265,641,14712
460,4377,250,646,14727
461,4380,252,656,14712
462,4378,256,646,14720
463,4365,261,654,14720
464,4365,273,636,14726
465,4375,254,645,14726
466,4362,264,645,14729
467,4367,268,652,14713
468,4341,277,675,14707
469,4324,277,661,14738
470,4307,289,678,14726
471,4282,296,690,14732
472,4287,297,700,14716
473,4253,299,711,14737
474,4234,307,717,14742
475,4216,298,730,14756
476,4186,299,717,14798
477,4147,318,740,14795
478,4129,324,738,14809
479,4131,302,752,14815
480,4121,284,770,14825
481,4138,262,782,14818
482,4112,291,765,14832
483,4103,307,741,14849
484,4103,285,760,14852
485,4099,294,749,14858
486,4057,305,768,14870
487,4033,312,760,14895
488,4014,315,784,14887
489,4000,309,774,14917
490,3984,298,801,14917
491,3968,326,771,14935
492,3952,320,777,14951
493,3934,322,768,14976
494,3921,307,757,15015
495,3948,277,765,15010
496,3920,299,745,15036
497,3892,301,749,15058
498,3877,312,768,15043
499,3857,313,778,15052
500,3840,320,776,15064
501,3823,294,802,15081
502,3819,283,808,15090
503,3821,271,811,15097
504,3806,291,792,15111
505,3774,286,794,15146
506,3759,286,787,15168
507,3753,288,784,15175
508,3749,278,792,15181
509,3721,295,773,15211
510,3738,285,773,15204
511,3744,264,765,15227
512,3742,287,756,15215
